frame,servo_id,angle
1,6,159.12
1,7,92.88
2,6,202.8
2,7,130.8
3,6,214.56
3,7,162.0
4,6,216.72
4,7,125.28
5,6,216.0
5,7,99.6
6,6,204.24
6,7,87.36
7,6,180.96
7,7,87.36
8,6,166.56
8,7,96.0
9,6,167.28
9,7,102.0
10,6,167.76
10,7,108.24
11,6,168.0
11,7,114.0
12,6,170.64
12,7,119.28
13,6,174.0
13,7,123.36
14,6,177.12
14,7,127.68
15,6,188.64
15,7,140.64
16,6,197.28
16,7,168.48
17,6,183.12
17,7,170.88
18,6,161.52
18,7,149.76
19,6,159.36
19,7,125.04
20,6,164.64
20,7,113.52
21,6,177.36
21,7,101.28
22,6,195.12
22,7,98.16
